date,value
2021/1/9,63
2021/1/10,148
2021/1/11,131
2021/1/12,111
2021/1/13,206
2021/1/14,190
2021/1/15,189
2021/1/16,196
2021/1/17,163
2021/1/18,149
2021/1/19,122
2021/1/20,201
2021/1/21,209
2021/1/22,169
2021/1/23,151
2021/1/24,84
2021/1/25,104
2021/1/26,133
2021/1/27,71
2021/1/28,82
2021/1/29,61
2021/1/30,53
2021/1/31,53
2021/2/1,39
2021/2/2,27
2021/2/3,36
2021/2/4,45
2021/2/5,21
2021/2/6,22
2021/2/7,30
2021/2/8,28
2021/2/9,18
2021/2/10,18
2021/2/11,16
2021/2/12,21
2021/2/13,23
2021/2/14,16
2021/2/15,25
2021/2/16,12
2021/2/17,31
2021/2/18,18
2021/2/19,19
2021/2/20,12
2021/2/21,17
2021/2/22,19
2021/2/23,18
2021/2/24,16
2021/2/25,11
2021/2/26,16
2021/2/27,12
2021/2/28,31
2021/3/1,15
2021/3/2,26
2021/3/3,22
2021/3/4,21
2021/3/5,30
2021/3/6,21
2021/3/7,34
2021/3/8,17
2021/3/9,21
2021/3/10,20
2021/3/11,16
2021/3/12,24
2021/3/13,20
2021/3/14,13
2021/3/15,18
2021/3/16,18
2021/3/17,12
2021/3/18,16
2021/3/19,11
2021/3/20,16
2021/3/21,14
2021/3/22,22
2021/3/23,17
2021/3/24,19
2021/3/25,42
2021/3/26,36
2021/3/27,27
2021/3/28,25
2021/3/29,12
2021/3/30,17
2021/3/31,55
2021/4/1,28
2021/4/2,43
2021/4/3,34
2021/4/4,48
2021/4/5,28
2021/4/6,16
2021/4/7,25
2021/4/8,32
2021/4/9,22
2021/4/10,32
2021/4/11,26
2021/4/12,23
2021/4/13,22
2021/4/14,25
2021/4/15,42
2021/4/16,32
2021/4/17,27
2021/4/18,24
2021/4/19,17
2021/4/20,28
2021/4/21,21
2021/4/22,40
2021/4/23,19
2021/4/24,27
2021/4/25,28
2021/4/26,21
2021/4/27,24
2021/4/28,33
2021/4/29,31
2021/4/30,28
2021/5/1,31
2021/5/2,23
2021/5/3,32
2021/5/4,16
2021/5/5,10
2021/5/6,30
2021/5/7,13
2021/5/8,21
2021/5/9,29
2021/5/10,35
2021/5/11,23
2021/5/12,22
2021/5/13,29
2021/5/14,39
2021/5/15,35
2021/5/16,39
2021/5/17,38
2021/5/18,22
2021/5/19,29
2021/5/20,49
2021/5/21,32
2021/5/22,38
2021/5/23,38
2021/5/24,31
2021/5/25,24
2021/5/26,40
2021/5/27,33
2021/5/28,28
2021/5/29,33
2021/5/30,30
2021/5/31,35
2021/6/1,39
2021/6/2,38
2021/6/3,42
2021/6/4,46
2021/6/5,40
2021/6/6,37
2021/6/7,37
2021/6/8,23
2021/6/9,46
2021/6/10,43
2021/6/11,60
2021/6/12,45
2021/6/13,44
2021/6/14,44
2021/6/15,55
2021/6/16,39
2021/6/17,43
2021/6/18,69
2021/6/19,34
2021/6/20,32
2021/6/21,43
2021/6/22,33
2021/6/23,27
2021/6/24,42
2021/6/25,46
2021/6/26,33
2021/6/27,42
2021/6/28,43
2021/6/29,17
2021/6/30,27
2021/7/1,37
2021/7/2,34
2021/7/3,30
2021/7/4,34
2021/7/5,48
2021/7/6,95
2021/7/7,24
2021/7/8,45
2021/7/9,39
2021/7/10,16
2021/7/11,60
2021/7/12,48
2021/7/13,30
2021/7/14,35
2021/7/15,55
2021/7/16,41
2021/7/17,56
2021/7/18,44
2021/7/19,83
2021/7/20,22
2021/7/21,82
2021/7/22,74
2021/7/23,51
2021/7/24,42
2021/7/25,87
2021/7/26,81
2021/7/27,94
2021/7/28,61
2021/7/29,89
2021/7/30,69
2021/7/31,110
2021/8/1,149
2021/8/2,127
2021/8/3,103
2021/8/4,138
2021/8/5,176
2021/8/6,133
2021/8/7,102
2021/8/8,121
2021/8/9,137
2021/8/10,122
2021/8/11,118
2021/8/12,100
2021/8/13,78
2021/8/14,78
2021/8/15,62
2021/8/16,58
2021/8/17,45
2021/8/18,70
2021/8/19,61
2021/8/20,37
2021/8/21,51
2021/8/22,34
2021/8/23,39
2021/8/24,28
2021/8/25,41
2021/8/26,51
2021/8/27,27
